name,bus0,bus1,length,r,x,s_nom,num_parallel,kind,type_info
Branch_LVCableDist_mvgd_2338_lvgd_461980_31_LVCableDist_mvgd_2338_lvgd_461980_33,BranchTee_mvgd_2338_lvgd_461980_31,BranchTee_mvgd_2338_lvgd_461980_33,0.05,0.0103,0.004021238596594936,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_32_Load_mvgd_2338_lvgd_461980_16,BranchTee_mvgd_2338_lvgd_461980_32,Bus_mvgd_2338_lvgd_461980_loa_16,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_33_LVCableDist_mvgd_2338_lvgd_461980_34,BranchTee_mvgd_2338_lvgd_461980_33,BranchTee_mvgd_2338_lvgd_461980_34,0.018,0.008081999999999999,0.0015268140296446396,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_33_LVCableDist_mvgd_2338_lvgd_461980_35,BranchTee_mvgd_2338_lvgd_461980_33,BranchTee_mvgd_2338_lvgd_461980_35,0.05,0.0103,0.004021238596594936,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_34_Load_mvgd_2338_lvgd_461980_17,BranchTee_mvgd_2338_lvgd_461980_34,Bus_mvgd_2338_lvgd_461980_loa_17,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_35_LVCableDist_mvgd_2338_lvgd_461980_36,BranchTee_mvgd_2338_lvgd_461980_35,BranchTee_mvgd_2338_lvgd_461980_36,0.033,0.014817,0.002799159054348506,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_35_LVCableDist_mvgd_2338_lvgd_461980_37,BranchTee_mvgd_2338_lvgd_461980_35,BranchTee_mvgd_2338_lvgd_461980_37,0.05,0.0103,0.004021238596594936,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_36_Load_mvgd_2338_lvgd_461980_18,BranchTee_mvgd_2338_lvgd_461980_36,Bus_mvgd_2338_lvgd_461980_loa_18,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_37_LVCableDist_mvgd_2338_lvgd_461980_38,BranchTee_mvgd_2338_lvgd_461980_37,BranchTee_mvgd_2338_lvgd_461980_38,0.018,0.008081999999999999,0.0015268140296446396,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_37_LVCableDist_mvgd_2338_lvgd_461980_39,BranchTee_mvgd_2338_lvgd_461980_37,BranchTee_mvgd_2338_lvgd_461980_39,0.05,0.0103,0.004021238596594936,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_38_Load_mvgd_2338_lvgd_461980_19,BranchTee_mvgd_2338_lvgd_461980_38,Bus_mvgd_2338_lvgd_461980_loa_19,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_39_LVCableDist_mvgd_2338_lvgd_461980_40,BranchTee_mvgd_2338_lvgd_461980_39,BranchTee_mvgd_2338_lvgd_461980_40,0.033,0.014817,0.002799159054348506,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_39_LVCableDist_mvgd_2338_lvgd_461980_41,BranchTee_mvgd_2338_lvgd_461980_39,BranchTee_mvgd_2338_lvgd_461980_41,0.05,0.0103,0.004021238596594936,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_3_LVCableDist_mvgd_2338_lvgd_461980_4,BranchTee_mvgd_2338_lvgd_461980_3,BranchTee_mvgd_2338_lvgd_461980_4,0.033,0.014817,0.002799159054348506,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_3_LVCableDist_mvgd_2338_lvgd_461980_5,BranchTee_mvgd_2338_lvgd_461980_3,BranchTee_mvgd_2338_lvgd_461980_5,0.052,0.010712,0.004182088140458733,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_40_Load_mvgd_2338_lvgd_461980_20,BranchTee_mvgd_2338_lvgd_461980_40,Bus_mvgd_2338_lvgd_461980_loa_20,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_41_LVCableDist_mvgd_2338_lvgd_461980_42,BranchTee_mvgd_2338_lvgd_461980_41,BranchTee_mvgd_2338_lvgd_461980_42,0.018,0.008081999999999999,0.0015268140296446396,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_42_Load_mvgd_2338_lvgd_461980_21,BranchTee_mvgd_2338_lvgd_461980_42,Bus_mvgd_2338_lvgd_461980_loa_21,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_4_Load_mvgd_2338_lvgd_461980_2,BranchTee_mvgd_2338_lvgd_461980_4,Bus_mvgd_2338_lvgd_461980_loa_2,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
